case_id,family,difficulty,repetition,failure_category
m16.cohort_a.direct_answer.hard.02,direct_answer,hard,1,wrong_answer
m16.cohort_a.direct_answer.hard.03,direct_answer,hard,1,wrong_answer
m16.cohort_a.direct_answer.hard.04,direct_answer,hard,1,wrong_answer
m16.cohort_a.direct_answer.hard.05,direct_answer,hard,1,wrong_answer
m16.cohort_a.direct_answer.hard.06,direct_answer,hard,1,wrong_answer
m16.cohort_a.direct_answer.hard.07,direct_answer,hard,1,wrong_answer
m16.cohort_a.direct_answer.hard.08,direct_answer,hard,1,wrong_answer
m16.cohort_a.direct_answer.hard.12,direct_answer,hard,1,wrong_answer
m16.cohort_a.direct_answer.hard.14,direct_answer,hard,1,wrong_answer
m16.cohort_a.direct_answer.hard.15,direct_answer,hard,1,wrong_answer
m16.cohort_a.direct_answer.hard.02,direct_answer,hard,2,wrong_answer
m16.cohort_a.direct_answer.hard.03,direct_answer,hard,2,wrong_answer
m16.cohort_a.direct_answer.hard.04,direct_answer,hard,2,wrong_answer
m16.cohort_a.direct_answer.hard.05,direct_answer,hard,2,wrong_answer
m16.cohort_a.direct_answer.hard.06,direct_answer,hard,2,wrong_answer
m16.cohort_a.direct_answer.hard.07,direct_answer,hard,2,wrong_answer
m16.cohort_a.direct_answer.hard.09,direct_answer,hard,2,wrong_answer
m16.cohort_a.direct_answer.hard.12,direct_answer,hard,2,wrong_answer
m16.cohort_a.direct_answer.hard.14,direct_answer,hard,2,wrong_answer
m16.cohort_a.direct_answer.hard.15,direct_answer,hard,2,wrong_answer
m16.cohort_a.direct_answer.hard.02,direct_answer,hard,3,wrong_answer
m16.cohort_a.direct_answer.hard.04,direct_answer,hard,3,wrong_answer
m16.cohort_a.direct_answer.hard.05,direct_answer,hard,3,wrong_answer
m16.cohort_a.direct_answer.hard.06,direct_answer,hard,3,wrong_answer
m16.cohort_a.direct_answer.hard.07,direct_answer,hard,3,wrong_answer
m16.cohort_a.direct_answer.hard.08,direct_answer,hard,3,wrong_answer
m16.cohort_a.direct_answer.hard.12,direct_answer,hard,3,wrong_answer
m16.cohort_a.direct_answer.hard.14,direct_answer,hard,3,wrong_answer
m16.cohort_a.direct_answer.hard.15,direct_answer,hard,3,wrong_answer
m16.cohort_a.direct_answer.hard.02,direct_answer,hard,4,wrong_answer
m16.cohort_a.direct_answer.hard.03,direct_answer,hard,4,wrong_answer
m16.cohort_a.direct_answer.hard.04,direct_answer,hard,4,wrong_answer
m16.cohort_a.direct_answer.hard.06,direct_answer,hard,4,wrong_answer
m16.cohort_a.direct_answer.hard.07,direct_answer,hard,4,wrong_answer
m16.cohort_a.direct_answer.hard.08,direct_answer,hard,4,wrong_answer
m16.cohort_a.direct_answer.hard.12,direct_answer,hard,4,wrong_answer
m16.cohort_a.direct_answer.hard.14,direct_answer,hard,4,wrong_answer
m16.cohort_a.direct_answer.hard.15,direct_answer,hard,4,wrong_answer
m16.cohort_a.direct_answer.hard.02,direct_answer,hard,5,wrong_answer
m16.cohort_a.direct_answer.hard.03,direct_answer,hard,5,wrong_answer
m16.cohort_a.direct_answer.hard.04,direct_answer,hard,5,wrong_answer
m16.cohort_a.direct_answer.hard.05,direct_answer,hard,5,wrong_answer
m16.cohort_a.direct_answer.hard.06,direct_answer,hard,5,wrong_answer
m16.cohort_a.direct_answer.hard.07,direct_answer,hard,5,wrong_answer
m16.cohort_a.direct_answer.hard.08,direct_answer,hard,5,wrong_answer
m16.cohort_a.direct_answer.hard.12,direct_answer,hard,5,wrong_answer
m16.cohort_a.direct_answer.hard.14,direct_answer,hard,5,wrong_answer
m16.cohort_a.direct_answer.hard.15,direct_answer,hard,5,wrong_answer
